"key","en","fr","ja","vi","zh"
"actions::accept","Accept","Accepter","受け入れる","Chấp nhận","Accept"
"actions::action","Action","Action","アクション","Hoạt động","Action"
"actions::actions","Actions","Actions","行動","hành động","Actions"
"actions::add","Add","Ajouter","追加","Thêm vào","Add"
"actions::admin","Admin","Administrateur","管理者","Quản trị viên","Admin"
"actions::agree","Agree","Accepter","同意する","Đồng ý","Agree"
"actions::archive","Archive","Archive","アーカイブ","Lưu trữ","Archive"
"actions::assign","Assign","Attribuer","割当","Giao phó","Assign"
"actions::attach","Attach","Attacher","添付する","Gắn","Attach"
"actions::browse","Browse","Parcourir","ブラウズ","Duyệt qua","Browse"
"actions::cancel","Cancel","Annuler","キャンセル","Hủy bỏ","Cancel"
"actions::choose","Choose","Choisir","選ぶ","Chọn","Choose"
"actions::choose_file","Choose file","Choisir le fichier","ファイルを選ぶ","Chọn tập tin","Choose file"
"actions::choose_image","Choose image","Choisir une image","画像の選択","Chọn hình ảnh","Choose image"
"actions::click_to_copy","Click to copy","Cliquez pour copier","クリックしてコピー","Bấm để sao chép","Click to copy"
"actions::close","Close","Fermer","近い","Đóng","Close"
"actions::collapse","Collapse","Effondrement","崩壊","Sụp đổ","Collapse"
"actions::collapse_all","Collapse all","Réduire tout","すべて折りたたむ","Thu gọn tất cả","Collapse all"
"actions::comment","Comment","Commentaire","コメント","Bình luận","Comment"
"actions::confirm","Confirm","Confirmer","確認する","Xác nhận","Confirm"
"actions::connect","Connect","Connecter","接続する","Kết nối","Connect"
"actions::create","Create","Créer","作成する","Tạo nên","Create"
"actions::delete","Delete","Supprimer","消去","Xóa bỏ","Delete"
"actions::detach","Detach","Détacher","切り離す","tách ra","Detach"
"actions::details","Details","Détails","詳細","Chi tiết","Details"
"actions::disable","Disable","Désactiver","無効にする","Vô hiệu hóa","Disable"
"actions::discard","Discard","Jeter","破棄","Loại bỏ","Discard"
"actions::done","Done","Fait","終わり","Xong","Done"
"actions::down","Down","Vers le bas","下","Xuống","Down"
"actions::duplicate","Duplicate","Dupliquer","重複","Nhân bản","Duplicate"
"actions::edit","Edit","Modifier","編集","Biên tập","Edit"
"actions::enable","Enable","Activer","有効にする","Cho phép","Enable"
"actions::expand","Expand","Développer","拡大する","Mở rộng","Expand"
"actions::expand_all","Expand all","Développer tout","すべて展開","Mở rộng tất cả","Expand all"
"actions::explanation","Explanation","Explication","説明","Giải trình","Explanation"
"actions::export","Export","Exporter","輸出","Xuất khẩu","Export"
"actions::file","The :attribute must be a file.","Le champ :attribute doit être un fichier.",":Attributeには、ファイル形式を指定してください。","Trường :attribute phải là một tệp tin.","The :attribute must be a file."
"actions::files","Files","Des dossiers","ファイル","Các tập tin","Files"
"actions::go_home","Go home","Rentrer chez soi","家に帰れ","Về nhà","Go home"
"actions::hide","Hide","Cacher","隠れる","Trốn","Hide"
"actions::home","Home","Maison","家","Trang chủ","Home"
"actions::image","The :attribute must be an image.","Le champ :attribute doit être une image.",":Attributeには、画像を指定してください。","Trường :attribute phải là định dạng hình ảnh.","The :attribute must be an image."
"actions::Impersonate","Impersonate","Utiliser un autre compte","なりすまし","Mạo nhận","Impersonate"
"actions::Impersonation","Impersonation","Imitation","なりすまし","mạo danh","Impersonation"
"actions::import","Import","Importer","輸入","Nhập khẩu","Import"
"actions::introduction","Introduction","Introduction","導入","Giới thiệu","Introduction"
"actions::like","Like","Comme","のように","Giống","Like"
"actions::load","Load","Charger","負荷","Trọng tải","Load"
"actions::localize","Localize","Localiser","ローカライズ","Bản địa hóa","Localize"
"actions::named.add","Add :name","Ajouter :name",":nameを追加","Thêm :name","Add :name"
"actions::named.choose","Choose :name","Choisissez :name",":name 個選択してください","Chọn :name","Choose :name"
"actions::named.create","Create :name","Créer :name",":nameを作成する","Tạo :name","Create :name"
"actions::named.delete","Delete :name","Supprimer :name",":nameを削除","Xóa :name","Delete :name"
"actions::named.duplicate","Duplicate :name","Duplicata : nom","重複: 名前","Trùng lặp: tên","Duplicate :name"
"actions::named.edit","Edit :name","Modifier :name","編集:name","Chỉnh sửa :name","Edit :name"
"actions::named.hide","Hide :name","Masquer :name","隠す:name","Ẩn :name","Hide :name"
"actions::named.import","Import :name","Importer :name","インポート:name","Nhập khẩu :name","Import :name"
"actions::named.new","New :name","Nouveau :name","新しい:name",":name mới","New :name"
"actions::named.restore","Restore :name","Restaurer :name",":nameを回復","Khôi phục :name","Restore :name"
"actions::named.save","Save :name","Économisez :name","セーブ:name","Tiết kiệm :name","Save :name"
"actions::named.search","Search :name","Recherche :name","検索:name","Tìm kiếm :name","Search :name"
"actions::named.show","Show :name","Afficher :name","ショー:name","Hiển thị :name","Show :name"
"actions::named.update","Update :name","Mise à jour :name","アップデート:name","Cập nhật :name","Update :name"
"actions::named.view","View :name","Voir :name",":nameを見る","Xem :name","View :name"
"actions::new","New","Nouveau","新しい","Mới","New"
"actions::no","No","Non","いいえ","KHÔNG","No"
"actions::open","Open","Ouvrir","開ける","Mở","Open"
"actions::open_website","Open on website","Ouvert sur le site","ウェブサイトで開く","Mở trên trang web","Open on website"
"actions::preview","Preview","Aperçu","プレビュー","Xem trước","Preview"
"actions::price","Price","Prix","価格","Giá","Price"
"actions::restore","Restore","Restaurer","復元する","Khôi phục","Restore"
"actions::save","Save","Sauvegarder","保存","Cứu","Save"
"actions::save_and_close","Save & Close","Sauvegarder et fermer","保存して閉じる","Lưu & Đóng","Save & Close"
"actions::save_and_return","Save & Return","Enregistrer et retourner","保存して戻る","Lưu & Trả lại","Save & Return"
"actions::search","Search","Recherche","検索","Tìm kiếm","Search"
"actions::select","Select","Sélectionner","選択する","Lựa chọn","Select"
"actions::select_all","Select all","Tout sélectionner","すべて選択","Chọn tất cả","Select all"
"actions::send","Send","Envoyer","送信","Gửi","Send"
"actions::settings","Settings","Paramètres","設定","Cài đặt","Settings"
"actions::show","Show","Montrer","見せる","Trình diễn","Show"
"actions::show_all","Show all","Afficher tout","すべて表示する","Hiển thị tất cả","Show all"
"actions::solve","Solve","Résoudre","解決する","Gỡ rối","Solve"
"actions::submit","Submit","Soumettre","提出する","Nộp","Submit"
"actions::subscribe","Subscribe","S'abonner","購読する","Đặt mua","Subscribe"
"actions::switch","Switch","Changer","スイッチ","Công tắc","Switch"
"actions::switch_to_role","Switch to role","Passer au rôle","役割に切り替える","Chuyển sang vai trò","Switch to role"
"actions::tag","Tag","Étiqueter","鬼ごっこ","Nhãn","Tag"
"actions::tags","Tags","Mots clés","タグ","Thẻ","Tags"
"actions::target_link.blank","Open in a new window","Ouvrir dans une nouvelle fenêtre","新しいウィンドウで開きます","Mở trong một cửa sổ mới","Open in a new window"
"actions::target_link.parent","Open in parent frame","Ouvrir dans un frame parent","親フレームで開く","Mở trong khung cha","Open in parent frame"
"actions::target_link.self","Open in current window","Ouvrir dans une fenêtre actuelle","現在のウィンドウで開く","Mở trong cửa sổ hiện tại","Open in current window"
"actions::target_link.top","Open in top frame","Ouvrir dans le cadre le plus haut","一番上のフレームで開く","Mở ở khung trên cùng","Open in top frame"
"actions::translate","Translate","Traduire","翻訳する","Dịch","Translate"
"actions::translate_it","Translate it","Traduis le","翻訳してください","Dịch nó","Translate it"
"actions::unpack","Unpack","Déballer","開梱","Giải nén","Unpack"
"actions::unsubscribe","Unsubscribe","Se désabonner","購読を解除する","Hủy đăng ký","Unsubscribe"
"actions::up","Up","En haut","上","Hướng lên","Up"
"actions::update","Update","Mise à jour","アップデート","Cập nhật","Update"
"actions::user","No user found with this email address.","Aucun utilisateur n'a été trouvé avec cette adresse email.","このメールアドレスに一致するユーザーがいません。","Không tìm thấy người dùng với địa chỉ email này.","No user found with this email address."
"actions::view","View","Voir","ビュー","Xem","View"
"actions::yes","Yes","Oui","はい","Đúng","Yes"
"auth::failed","These credentials do not match our records.","Ces identifiants ne correspondent pas à nos enregistrements.","認証に失敗しました。","Thông tin tài khoản không tìm thấy trong hệ thống.","这些凭据与我们的记录不匹配。"
"auth::password","The provided password is incorrect.","Le mot de passe est incorrect","パスワードが正しくありません。","Mật khẩu không đúng.","提供的密码不正确。"
"auth::throttle","Too many login attempts. Please try again in :seconds seconds.","Tentatives de connexion trop nombreuses. Veuillez essayer de nouveau dans :seconds secondes.","ログインの試行回数が多すぎます。:seconds 秒後にお試しください。","Vượt quá số lần đăng nhập cho phép. Vui lòng thử lại sau :seconds giây.","尝试登录次数过多。请在:seconds秒后再试。"
"core/acl/auth::login.username","Email/Username","Email/Nom d'utilisateur","メールアドレス/ユーザー名","Email/Tên truy cập","电子邮件/用户名"
"core/acl/auth::login.email","Email","Email","電子メール","Email","电子邮件"
"core/acl/auth::login.password","Password","Mot de passe","パスワード","Mật khẩu","密码"
"core/acl/auth::login.title","User Login","Utilisateur en ligne","ユーザーログイン","Đăng nhập người dùng","用户登录"
"core/acl/auth::login.remember","Remember me?","Souviens-toi de moi?","私を覚えてますか？","Nhớ mật khẩu?","记得我吗？"
"core/acl/auth::login.login","Sign in","S'inscrire","サインイン","Đăng nhập","登录"
